country,year,PIB,population,IDH,unemployment,gdp_pc,log_gdp_pc,gdp_growth,unemployment.1,poverty
Nicaragua,2011,9774329332.71276,5819015.0,0.6566000000000001,6.618,1679.7223125757127,7.42638376860188,11.596908647182367,,
Nicaragua,2012,10532017231.8253,5901251.0,0.6622,5.208,1784.7092475519682,7.48701079442078,7.751814710976701,,
Nicaragua,2013,10982988249.2103,5983801.0,0.6678000000000001,5.28,1835.4534599680533,7.51504684710906,4.281905426647725,,
Nicaragua,2014,11880438824.4494,6066438.0,0.6734,4.52,1958.387908101822,7.579876917922833,8.171278661830739,,
Nicaragua,2015,12756696261.0676,6149360.0,0.679,4.7,2074.475435015612,7.63746359830277,7.375631906919988,,
Nicaragua,2016,13286093388.4752,6232609.0,0.6784,3.9,2131.7065435157574,7.664678132057629,4.149954789025401,,
Nicaragua,2017,13785893007.4769,6316185.0,0.6778000000000001,3.3,2182.629705665192,7.688285715805923,3.7618252739006097,,
Nicaragua,2018,13025221974.232,6400020.0,0.6772,5.2,2035.1845735219576,7.6183417932831325,-5.517749432933671,,
Nicaragua,2019,12699023614.245,6483603.0,0.6766000000000001,5.472,1958.6368280483864,7.580004014361414,-2.504359316350402,,
Nicaragua,2020,12726422432.4868,6565214.0,0.676,6.201,1938.462696339647,7.569650513355872,0.2157553137476231,,
Nicaragua,2021,14209020361.8508,6644688.0,0.682,6.118,2138.402941093818,7.667814540194984,11.649762038225033,,
Nicaragua,2022,15634572502.2294,6730618.0,0.701,4.961,2322.9029640709664,7.750572960081742,10.032726423603467,,
Nicaragua,2023,17805842283.8725,6823569.0,0.706,4.716,2609.461747052386,7.866899251865996,13.887618489942666,,
Panamá,2001,12252906300.0,3069480.0,0.7237,6.372,3991.8508346690646,8.292010270668362,2.393426413761679,,
Panamá,2002,12800851300.0,3129297.0,0.7293999999999999,6.362,4090.6476119077215,8.316458576822079,4.47195944034926,,
Panamá,2003,13603456000.0,3189765.0,0.7351,6.346,4264.720441788031,8.358131910717226,6.269932219273566,,
